# Risultati internazionali REALI tra le 48 nazionali del Mondiale 2026 (dal 2024-01-01).
# Fonte: dataset pubblico 'martj42/international_results' (GitHub), risultati verificabili.
# Usato per il backtest di ACCURATEZZA del modello (NON servono quote).
date,home,away,home_score,away_score,neutral
2025-12-07,Qatar,Tunisia,0,3,false
2025-12-08,Marocco,Arabia Saudita,1,0,true
2025-12-09,Algeria,Iraq,2,0,true
2025-12-09,Egitto,Giordania,0,3,true
2025-12-12,Giordania,Iraq,1,0,true
2025-12-15,Arabia Saudita,Giordania,0,1,true
2025-12-18,Giordania,Marocco,2,3,true
2025-12-26,Egitto,Sudafrica,1,0,true
2025-12-27,Senegal,Congo DR,1,1,true
2026-01-06,Algeria,Congo DR,1,0,true
2026-01-10,Egitto,Costa d'Avorio,3,2,true
2026-01-14,Senegal,Egitto,1,0,true
2026-01-18,Marocco,Senegal,3,0,false
2026-01-22,Panama,Messico,0,1,false
2026-03-26,Brasile,Francia,1,2,true
2026-03-26,Colombia,Croazia,1,2,true
2026-03-27,Arabia Saudita,Egitto,0,4,false
2026-03-27,Austria,Ghana,5,1,false
2026-03-27,Inghilterra,Uruguay,1,1,false
2026-03-27,Marocco,Ecuador,1,1,true
2026-03-27,Olanda,Norvegia,2,1,false
2026-03-27,Sudafrica,Panama,1,1,false
2026-03-27,Svizzera,Germania,3,4,false
2026-03-28,Costa d'Avorio,Corea del Sud,4,0,true
2026-03-28,Haiti,Tunisia,0,1,true
2026-03-28,Messico,Portogallo,0,0,false
2026-03-28,Scozia,Giappone,0,1,false
2026-03-28,USA,Belgio,2,5,false
2026-03-29,Colombia,Francia,1,3,true
2026-03-30,Germania,Ghana,2,1,false
2026-03-31,Algeria,Uruguay,0,0,true
2026-03-31,Australia,Curaçao,5,1,false
2026-03-31,Austria,Corea del Sud,1,0,false
2026-03-31,Brasile,Croazia,3,1,true
2026-03-31,Canada,Tunisia,0,0,false
2026-03-31,Costa d'Avorio,Scozia,1,0,true
2026-03-31,Inghilterra,Giappone,0,1,false
2026-03-31,Marocco,Paraguay,2,1,true
2026-03-31,Messico,Belgio,1,1,true
2026-03-31,Norvegia,Svizzera,0,0,false
2026-03-31,Olanda,Ecuador,1,1,false
2026-03-31,Spagna,Egitto,0,0,false
2026-03-31,Sudafrica,Panama,1,2,false
2026-03-31,USA,Portogallo,0,2,false
2026-05-22,Messico,Ghana,2,0,false
2026-05-30,Ecuador,Arabia Saudita,2,1,true
2026-05-30,Messico,Australia,1,0,true
2026-05-30,Scozia,Curaçao,4,1,false
2026-05-31,Brasile,Panama,6,2,false
2026-05-31,Svizzera,Giordania,4,1,false
2026-05-31,USA,Senegal,3,2,false
2026-06-01,Austria,Tunisia,1,0,false
2026-06-01,Canada,Uzbekistan,2,0,false
2026-06-01,Norvegia,Svezia,3,1,false
2026-06-02,Croazia,Belgio,0,2,false
2026-06-02,Haiti,Nuova Zelanda,4,0,true
2026-06-03,Olanda,Algeria,0,1,false
2026-06-04,Francia,Costa d'Avorio,1,2,false
2026-06-04,Spagna,Iraq,1,1,false
2026-06-06,Australia,Svizzera,1,1,true
2026-06-06,Belgio,Tunisia,5,0,false
2026-06-06,Brasile,Egitto,2,1,true
2026-06-06,Inghilterra,Nuova Zelanda,1,0,true
2026-06-06,Panama,Bosnia-Erzegovina,1,1,true
2026-06-06,USA,Germania,1,2,false
2026-06-07,Giordania,Colombia,0,2,true
2026-06-07,Marocco,Norvegia,1,1,true
2026-06-08,Olanda,Uzbekistan,2,1,true
2026-06-09,Arabia Saudita,Senegal,0,0,true
